,Phenotype
Cell209,1
Cell210,1
Cell211,1
Cell212,1
Cell213,1
Cell214,1
Cell215,1
Cell216,1
Cell217,1
Cell218,1
Cell219,1
Cell220,1
Cell221,1
Cell222,1
Cell223,1
Cell224,1
Cell225,1
Cell226,1
Cell227,1
Cell228,1
Cell229,1
Cell230,1
Cell231,1
Cell232,1
Cell233,1
Cell234,1
Cell235,1
Cell236,1
Cell237,1
Cell238,1
Cell239,1
Cell240,1
Cell241,1
Cell242,1
Cell243,1
Cell244,1
Cell245,1
Cell246,1
Cell247,1
Cell248,1
Cell249,1
Cell250,1
Cell251,1
Cell252,1
Cell253,1
Cell254,1
Cell255,1
Cell256,1
Cell257,1
Cell258,1
Cell259,1
Cell260,1
Cell261,1
Cell262,1
Cell263,1
Cell264,1
Cell265,1
Cell266,1
Cell267,1
Cell268,1
Cell269,1
Cell270,1
Cell271,1
Cell272,1
Cell273,1
Cell274,1
Cell275,1
Cell276,1
Cell277,1
Cell278,1
Cell279,1
Cell280,1
Cell281,1
Cell282,1
Cell283,1
Cell284,1
Cell285,1
Cell286,1
Cell287,1
Cell288,1
Cell289,1
Cell290,1
Cell291,1
Cell292,1
Cell293,1
Cell294,1
Cell295,1
Cell296,1
Cell297,1
Cell298,1
Cell299,1
Cell300,1
Cell301,1
Cell302,1
Cell303,1
Cell304,1
Cell305,1
Cell306,1
Cell307,1
Cell308,1
Cell309,1
Cell310,1
Cell311,1
Cell312,1
Cell313,1
Cell314,1
Cell315,1
Cell316,1
Cell317,1
Cell318,1
Cell319,1
Cell320,1
Cell321,1
Cell322,1
Cell323,1
Cell324,1
Cell325,1
Cell326,1
Cell327,1
Cell328,1
Cell329,1
Cell330,1
Cell331,1
Cell332,1
Cell333,1
Cell334,1
Cell335,1
Cell336,1
Cell337,1
Cell338,1
Cell339,1
Cell340,1
Cell341,1
Cell342,1
Cell343,1
Cell344,1
Cell345,1
Cell346,1
Cell347,1
Cell348,1
Cell349,1
Cell350,1
Cell351,1
Cell352,1
Cell353,1
Cell354,1
Cell355,1
Cell356,1
Cell357,1
Cell358,1
Cell359,1
Cell360,1
Cell361,1
Cell362,1
Cell363,1
Cell364,1
Cell365,1
Cell366,1
Cell367,1
Cell368,1
Cell369,1
Cell370,1
Cell371,1
Cell372,1
Cell373,1
Cell374,1
Cell375,1
Cell376,1
Cell377,1
Cell378,1
Cell379,1
Cell380,1
Cell381,1
Cell382,1
Cell383,1
Cell384,1
Cell385,1
Cell386,1
Cell387,1
Cell388,1
Cell389,1
Cell390,1
Cell391,1
Cell392,1
Cell393,1
Cell394,1
Cell395,1
Cell396,1
Cell397,1
Cell398,1
Cell399,1
Cell400,1
Cell401,1
Cell402,1
Cell403,1
Cell404,1
Cell405,1
Cell406,1
Cell407,1
Cell408,1
Cell409,1
Cell410,1
Cell411,1
Cell412,1
Cell413,1
Cell414,1
Cell415,1
Cell416,1
Cell417,1
Cell418,1
Cell419,1
Cell420,1
Cell421,1
Cell422,1
Cell423,1
Cell424,1
Cell425,1
Cell426,1
Cell427,1
Cell428,1
Cell429,1
Cell430,1
Cell431,1
Cell432,1
Cell433,1
Cell434,1
Cell435,1
Cell436,1
Cell437,1
Cell438,1
Cell439,1
Cell440,1
Cell441,1
Cell442,1
Cell443,1
Cell444,1
Cell445,1
Cell446,1
Cell447,1
Cell448,1
Cell449,1
Cell450,1
Cell451,1
Cell452,1
Cell453,1
Cell454,1
Cell455,1
Cell456,1
Cell457,1
Cell458,1
Cell459,1
Cell460,1
Cell461,1
Cell462,1
Cell463,1
Cell464,1
Cell465,1
Cell466,1
Cell467,1
Cell468,1
Cell469,1
Cell470,1
Cell471,1
Cell472,1
Cell473,1
Cell474,1
Cell475,1
Cell476,1
Cell477,1
Cell478,1
Cell479,2
Cell480,2
Cell481,2
Cell482,2
Cell483,2
Cell484,2
Cell485,2
Cell486,2
Cell487,2
Cell488,2
Cell489,2
Cell490,2
Cell491,2
Cell492,2
Cell493,2
Cell494,2
Cell495,2
Cell496,2
Cell497,2
Cell498,2
Cell499,2
Cell500,2
Cell501,2
Cell502,2
Cell503,2
Cell504,2
Cell505,2
Cell506,2
Cell507,2
Cell508,2
Cell509,2
Cell510,2
Cell511,2
Cell512,2
Cell513,2
Cell514,2
Cell515,2
Cell516,2
Cell517,2
Cell518,2
Cell519,2
Cell520,2
Cell521,2
Cell522,2
Cell523,2
Cell524,2
Cell525,2
Cell526,2
Cell527,2
Cell528,2
Cell529,2
Cell530,2
Cell531,2
Cell532,2
Cell533,2
Cell534,2
Cell535,2
Cell536,2
Cell537,2
Cell538,2
Cell539,2
Cell540,2
Cell541,2
Cell542,2
Cell543,2
Cell544,2
Cell545,2
Cell546,2
Cell547,2
Cell548,2
Cell549,2
Cell550,2
Cell551,2
Cell552,2
Cell553,2
Cell554,2
Cell555,2
Cell556,2
Cell557,2
Cell558,2
Cell559,2
Cell560,2
Cell561,2
Cell562,2
Cell563,2
Cell564,2
Cell565,2
Cell566,2
Cell567,2
Cell568,2
Cell569,2
Cell570,2
Cell571,2
Cell572,2
Cell573,2
Cell574,2
Cell575,2
Cell576,2
Cell577,2
Cell578,2
Cell579,2
Cell580,2
Cell581,2
Cell582,2
Cell583,2
Cell584,2
Cell585,2
Cell586,2
Cell587,2
Cell588,2
Cell589,2
Cell590,2
Cell591,2
Cell592,2
Cell593,2
Cell594,2
Cell595,2
Cell596,2
Cell597,2
Cell598,2
Cell599,2
Cell600,2
Cell601,2
Cell602,2
Cell603,2
Cell604,2
Cell605,2
Cell606,2
Cell607,2
Cell608,2
Cell609,2
Cell610,2
Cell611,2
Cell612,2
Cell613,2
Cell614,2
Cell615,2
Cell616,2
Cell617,2
Cell618,2
Cell619,2
Cell620,2
Cell621,2
Cell622,2
Cell623,2
Cell624,2
Cell625,2
Cell626,2
Cell627,2
Cell628,2
Cell629,2
Cell630,2
Cell631,2
Cell632,2
Cell633,2
Cell634,2
Cell635,2
Cell636,2
Cell637,2
Cell638,2
Cell639,2
Cell640,2
Cell641,2
Cell642,2
Cell643,2
Cell644,2
Cell645,2
Cell646,2
Cell647,2
Cell648,2
Cell649,2
Cell650,2
Cell651,2
Cell652,2
Cell653,2
Cell654,2
Cell655,2
Cell656,2
Cell657,2
Cell658,2
Cell659,2
Cell660,2
Cell661,2
Cell662,2
Cell663,2
Cell664,2
Cell665,2
Cell666,2
Cell667,2
Cell668,2
Cell669,2
Cell670,2
Cell671,2
Cell672,2
Cell673,2
Cell674,2
Cell675,2
Cell676,2
Cell677,2
Cell678,2
Cell679,2
Cell680,2
Cell681,2
Cell682,2
Cell683,2
Cell684,2
Cell685,2
Cell686,2
Cell687,2
Cell688,2
Cell689,2
Cell690,2
Cell691,2
Cell692,2
Cell693,2
Cell694,2
Cell695,2
Cell696,2
Cell697,2
Cell698,2
Cell699,2
Cell700,2
Cell701,2
Cell702,2
Cell703,2
Cell704,2
Cell705,2
Cell706,2
Cell707,2
Cell708,2
Cell709,2
Cell710,2
Cell711,2
Cell712,2
Cell713,2
Cell714,2
Cell715,2
Cell716,2
Cell717,2
Cell718,2
Cell719,2
Cell720,2
Cell721,2
Cell722,2
Cell723,2
Cell724,2
Cell725,2
Cell726,2
Cell727,2
Cell728,2
Cell729,2
Cell730,2
Cell731,2
Cell732,2
Cell733,2
Cell734,2
Cell735,2
Cell736,2
Cell737,2
Cell738,2
Cell739,2
Cell740,2
Cell741,2
Cell742,2
Cell743,2
Cell744,2
Cell745,2
Cell746,2
Cell747,2
Cell748,2
Cell749,2
Cell750,2
Cell751,2
Cell752,2
Cell753,2
Cell754,2
Cell755,2
Cell756,2
Cell757,2
Cell758,2
Cell759,2
Cell760,2
Cell761,2
Cell762,2
Cell763,2
Cell764,2
Cell765,2
Cell766,2
Cell767,2
Cell768,2
Cell769,2
Cell770,2
Cell771,2
Cell772,2
Cell773,2
Cell774,2
Cell775,2
Cell776,2
Cell777,2
Cell778,2
Cell779,2
Cell780,2
Cell781,2
Cell782,2
Cell783,2
Cell784,2
Cell785,2
Cell786,2
Cell787,2
Cell788,2
Cell789,2
Cell790,2
Cell791,2
Cell792,2
Cell793,2
Cell794,2
Cell795,2
Cell796,2
Cell797,2
Cell798,2
Cell799,2
Cell800,2
Cell801,2
Cell802,2
Cell803,2
Cell804,2
Cell805,2
Cell806,2
Cell807,2
Cell808,2
Cell809,2
Cell810,2
Cell811,2
Cell812,2
Cell813,2
Cell814,2
Cell815,2
Cell816,2
Cell817,2
Cell818,2
Cell819,2
Cell820,2
Cell821,2
Cell822,2
Cell823,2
Cell824,2
Cell825,2
Cell826,2
Cell827,2
Cell828,2
Cell829,2
Cell830,2
Cell831,2
Cell832,2
Cell833,2
Cell834,2
Cell835,2
Cell836,2
Cell837,2
Cell838,2
Cell839,2
Cell840,2
Cell841,2
Cell842,2
Cell843,2
Cell844,2
Cell845,2
Cell846,2
Cell847,2
Cell848,2
Cell849,2
Cell850,2
Cell851,2
Cell852,2
Cell853,2
Cell854,2
Cell855,2
Cell856,2
Cell857,2
Cell858,2
Cell859,2
Cell860,2
Cell861,2
Cell862,2
Cell863,2
Cell864,2
Cell865,2
Cell866,2
Cell867,2
Cell868,2
Cell869,2
Cell870,2
Cell871,2
Cell872,2
Cell873,2
Cell874,2
Cell875,2
Cell876,2
Cell877,2
Cell878,2
Cell879,2
Cell880,2
Cell881,2
Cell882,2
Cell883,2
Cell884,2
Cell885,2
Cell886,2
Cell887,2
Cell888,3
Cell889,3
Cell890,3
Cell891,3
Cell892,3
Cell893,3
Cell894,3
Cell895,3
Cell896,3
Cell897,3
Cell898,3
Cell899,3
Cell900,3
Cell901,3
Cell902,3
Cell903,3
Cell904,3
Cell905,3
Cell906,3
Cell907,3
Cell908,3
Cell909,3
Cell910,3
Cell911,3
Cell912,3
Cell913,3
Cell914,3
Cell915,3
Cell916,3
Cell917,3
Cell918,3
Cell919,3
Cell920,3
Cell921,3
Cell922,3
Cell923,3
Cell924,3
Cell925,3
Cell926,3
Cell927,3
Cell928,3
Cell929,3
Cell930,3
Cell931,3
Cell932,3
Cell933,3
Cell934,3
Cell935,3
Cell936,3
Cell937,3
Cell938,3
Cell939,3
Cell940,3
Cell941,3
Cell942,3
Cell943,3
Cell944,3
Cell945,3
Cell946,3
Cell947,3
Cell948,3
Cell949,3
Cell950,3
Cell951,3
Cell952,3
Cell953,3
Cell954,3
Cell955,3
Cell956,3
Cell957,3
Cell958,3
Cell959,3
Cell960,3
Cell961,3
Cell962,3
Cell963,3
Cell964,3
Cell965,3
Cell966,3
Cell967,3
Cell968,3
Cell969,3
Cell970,3
Cell971,3
Cell972,3
Cell973,3
Cell974,3
Cell975,3
Cell976,3
Cell977,3
Cell978,3
Cell979,3
Cell980,3
Cell981,3
Cell982,3
Cell983,3
Cell984,3
Cell985,3
Cell986,3
Cell987,3
Cell988,3
Cell989,3
Cell990,3
Cell991,3
Cell992,3
Cell993,3
Cell994,3
Cell995,3
Cell996,3
Cell997,3
Cell998,3
Cell999,3
Cell1000,3
Cell1001,3
Cell1002,3
Cell1003,3
Cell1004,3
Cell1005,3
Cell1006,3
Cell1007,3
Cell1008,3
Cell1009,3
Cell1010,3
Cell1011,3
Cell1012,3
Cell1013,3
Cell1014,3
Cell1015,3
Cell1016,3
Cell1017,3
Cell1018,3
Cell1019,3
Cell1020,3
Cell1021,3
Cell1022,3
Cell1023,3
Cell1024,3
Cell1025,3
Cell1026,3
Cell1027,3
Cell1028,3
Cell1029,3
Cell1030,3
Cell1031,3
Cell1032,3
Cell1033,3
Cell1034,3
Cell1035,3
Cell1036,3
Cell1037,3
Cell1038,3
Cell1039,3
Cell1040,3
Cell1041,3
Cell1042,3
Cell1043,3
Cell1044,3
Cell1045,3
Cell1046,3
Cell1047,3
Cell1048,3
Cell1049,3
Cell1050,3
Cell1051,3
Cell1052,3
Cell1053,3
Cell1054,3
Cell1055,3
Cell1056,3
Cell1057,3
Cell1058,3
Cell1059,3
Cell1060,3
Cell1061,3
Cell1062,3
Cell1063,3
Cell1064,3
Cell1065,3
Cell1066,3
Cell1067,3
Cell1068,3
Cell1069,3
Cell1070,3
Cell1071,3
Cell1072,3
Cell1073,3
Cell1074,3
Cell1075,3
Cell1076,3
Cell1077,3
Cell1078,3
Cell1079,3
Cell1080,3
Cell1081,3
Cell1082,3
Cell1083,3
Cell1084,3
Cell1085,3
Cell1086,3
Cell1087,3
Cell1088,3
Cell1089,3
Cell1090,3
Cell1091,3
Cell1092,3
Cell1093,3
Cell1094,3
Cell1095,3
Cell1096,3
Cell1097,3
Cell1098,3
Cell1099,3
Cell1100,3
Cell1101,3
Cell1102,3
Cell1103,3
Cell1104,3
Cell1105,3
Cell1106,3
Cell1107,3
Cell1108,3
Cell1109,3
Cell1110,3
Cell1111,3
Cell1112,3
Cell1113,3
Cell1114,3
Cell1115,3
Cell1116,3
Cell1117,3
Cell1118,3
Cell1119,3
Cell1120,3
Cell1121,3
Cell1122,3
Cell1123,3
Cell1124,3
Cell1125,3
Cell1126,3
Cell1127,3
Cell1128,3
Cell1129,3
Cell1130,3
Cell1131,3
Cell1132,3
Cell1133,3
Cell1134,3
Cell1135,3
Cell1136,3
Cell1137,3
Cell1138,3
Cell1139,3
Cell1140,3
Cell1141,3
Cell1142,3
Cell1143,3
Cell1144,3
Cell1145,3
Cell1146,3
Cell1147,3
Cell1148,3
Cell1149,3
Cell1150,3
Cell1151,3
Cell1152,3
Cell1153,3
Cell1154,3
Cell1155,3
Cell1156,3
Cell1157,3
Cell1158,3
Cell1159,3
Cell1160,3
Cell1161,3
Cell1162,3
Cell1163,3
Cell1164,3
Cell1165,3
Cell1166,3
Cell1167,3
Cell1168,3
Cell1169,3
Cell1170,3
Cell1171,3
Cell1172,3
Cell1173,3
Cell1174,3
Cell1175,3
Cell1176,3
Cell1177,3
Cell1178,3
Cell1179,3
Cell1180,3
Cell1181,4
Cell1182,4
Cell1183,4
Cell1184,4
Cell1185,4
Cell1186,4
Cell1187,4
Cell1188,4
Cell1189,4
Cell1190,4
Cell1191,4
Cell1192,4
Cell1193,4
Cell1194,4
Cell1195,4
Cell1196,4
Cell1197,4
Cell1198,4
Cell1199,4
Cell1200,4
Cell1201,4
Cell1202,4
Cell1203,4
Cell1204,4
Cell1205,4
Cell1206,4
Cell1207,4
Cell1208,4
Cell1209,4
Cell1210,4
Cell1211,4
Cell1212,4
Cell1213,4
Cell1214,4
Cell1215,4
Cell1216,4
Cell1217,4
Cell1218,4
Cell1219,4
Cell1220,4
Cell1221,4
Cell1222,4
Cell1223,4
Cell1224,4
Cell1225,4
Cell1226,4
Cell1227,4
Cell1228,4
Cell1229,4
Cell1230,4
Cell1231,4
Cell1232,4
Cell1233,4
Cell1234,4
Cell1235,4
Cell1236,4
Cell1237,4
Cell1238,4
Cell1239,4
Cell1240,4
Cell1241,4
Cell1242,4
Cell1243,4
Cell1244,4
Cell1245,4
Cell1246,4
Cell1247,4
Cell1248,4
Cell1249,4
Cell1250,4
Cell1251,4
Cell1252,4
Cell1253,4
Cell1254,4
Cell1255,4
Cell1256,4
Cell1257,4
Cell1258,4
Cell1259,4
Cell1260,4
Cell1261,4
Cell1262,4
Cell1263,4
Cell1264,4
Cell1265,4
Cell1266,4
Cell1267,4
Cell1268,4
Cell1269,4
Cell1270,4
Cell1271,4
Cell1272,4
Cell1273,4
Cell1274,4
Cell1275,4
Cell1276,4
Cell1277,4
Cell1278,4
Cell1279,4
Cell1280,4
Cell1281,4
Cell1282,4
Cell1283,4
Cell1284,4
Cell1285,4
Cell1286,4
Cell1287,4
Cell1288,4
Cell1289,4
Cell1290,4
Cell1291,4
Cell1292,4
Cell1293,4
Cell1294,4
Cell1295,4
Cell1296,4
Cell1297,4
Cell1298,4
Cell1299,4
Cell1300,4
Cell1301,4
Cell1302,4
Cell1303,4
Cell1304,4
Cell1305,4
Cell1306,4
Cell1307,4
Cell1308,4
Cell1309,4
Cell1310,4
Cell1311,4
Cell1312,4
Cell1313,4
Cell1314,4
Cell1315,4
Cell1316,4
Cell1317,4
Cell1318,4
Cell1319,4
Cell1320,4
Cell1321,4
Cell1322,4
Cell1323,4
Cell1324,4
Cell1325,4
Cell1326,4
Cell1327,4
Cell1328,4
Cell1329,4
Cell1330,4
Cell1331,4
Cell1332,4
Cell1333,4
Cell1334,4
Cell1335,4
Cell1336,4
Cell1337,4
Cell1338,4
Cell1339,4
Cell1340,4
Cell1341,4
Cell1342,4
Cell1343,4
Cell1344,4
Cell1345,4
Cell1346,4
Cell1347,4
Cell1348,4
Cell1349,4
Cell1350,4
Cell1351,4
Cell1352,4
Cell1353,4
Cell1354,4
Cell1355,4
Cell1356,4
Cell1357,4
Cell1358,4
Cell1359,4
Cell1360,4
Cell1361,4
Cell1362,4
Cell1363,4
Cell1364,5
Cell1365,5
Cell1366,5
Cell1367,5
Cell1368,5
Cell1369,5
Cell1370,5
Cell1371,5
Cell1372,5
Cell1373,5
Cell1374,5
Cell1375,5
Cell1376,5
Cell1377,5
Cell1378,5
Cell1379,5
Cell1380,5
Cell1381,5
Cell1382,5
Cell1383,5
Cell1384,5
Cell1385,5
Cell1386,5
Cell1387,5
Cell1388,5
Cell1389,5
Cell1390,5
Cell1391,5
Cell1392,5
Cell1393,5
Cell1394,5
Cell1395,5
Cell1396,5
Cell1397,5
Cell1398,5
Cell1399,5
Cell1400,5
Cell1401,5
Cell1402,5
Cell1403,5
Cell1404,5
Cell1405,5
Cell1406,5
Cell1407,5
Cell1408,5
Cell1409,5
Cell1410,5
Cell1411,5
Cell1412,5
Cell1413,5
Cell1414,5
Cell1415,5
Cell1416,5
Cell1417,5
Cell1418,5
Cell1419,5
Cell1420,5
Cell1421,5
Cell1422,5
Cell1423,5
Cell1424,5
Cell1425,5
Cell1426,5
Cell1427,5
Cell1428,5
Cell1429,5
Cell1430,5
Cell1431,5
